State,City,ZIP Code(s)
Alabama (AL),Huntsville,35801 thru 35816
Alaska (AK),Anchorage,99501 thru 99524
Arizona (AZ),Phoenix,85001 thru 85055
Arkansas (AR),Little Rock,72201 thru 72217
California (CA),Sacramento Los Angeles Beverly Hills,94203 thru 94209 90001 thru 90089 90209 thru 90213
Colorado (CO),Denver,80201 thru 80239
Conneticut (CT),Hartford,06101 thru 06112
Deleware (DE),Dover,19901 thru 19905
District of Columbia (DC),Washington,20001 thru 20020
Florida (FL),Pensacola Miami Orlando,32501 thru 32509 33124 thru 33190 32801 thru 32837
Georgia (GA),Atlanta,30301 thru 30381
Hawaii (HI),Honolulu,96801 thru 96830
Idaho (ID),Montpelier,83254
Illinois (IL),Chicago Springfield,60601 thru 60641 62701 thru 62709
Indiana (IN),Indianapolis,46201 thru 46209
Iowa (IA),Davenport Des Moines,52801 thru 52809 50301 thru 50323
Kansas (KS),Wichita,67201 thru 67221
Kentucky (KY),Hazard,41701- 41702
Lousiana (LA),New Orleans,70112 thru 70119
Maine (ME),Freeport,04032 thru 04034
Maryland (MD),Baltimore,21201 thru 21237
Massachusetts (MA),Boston,02101 thru 02137
Michigan (MI),Coldwater Gaylord,49036 49734 - 49735
Minnesota (MN),Duluth,55801 thru 55808
Mississippo (MS),Biloxi,39530 thru 39535
Missouri (MO),St. Louis,63101 thru 63141
Montana (MT),Laurel,59044
Nebraska (NE),Hastings,68901 - 68902
Nevada (NV),Reno,89501 thru 89513
New Hampshire (NH),Ashland,3217
New Jersey (NJ),Livingston,7039
New Mexico (NM),Santa Fe,87500 thru 87506
New York (NY),New York,10001 thru 10048
North Carolina (NC),Oxford,27565
North Dakota (ND),Walhalla,58282
Ohio (OH),Cleveland,44101 thru 44179
Oklahoma (OK),Tulsa,74101 thru 74110
Oregon (OR),Portland,97201 thru 97225
Pennsylvania (PA),Pittsburgh,15201 thru 15244
Rhode Island (RI),Newport,02840 - 02841
South Carolina (SC),Camden,29020
South Dakota (SD),Aberdeen,57401 - 57402
Tennessee (TN),Nashville,37201 thru 37222
Texas (TX),Austin,78701 thru 78705
Utah (UT),Logan,84321 thru 84323
Vermont (VT),Killington,5751
Virginia (VA),Altavista,24517
Washington (WA),Bellevue (home of windoze),98004 thru 98009
West Virginia (WV),Beaver,25813
Wisconsin (WI),Milwaukee,53201 thru 53228
Wyoming (WY),Pinedale,82941
